beruf,bl,bundesland,trend_3y,trend_window,share_label,count_year,count_latest,group_id,beruf_id
Betriebs- und UnternehmensleiterIn,AT13,Wien,gleichbleibend,2026-2028,74% - hoher Anteil,2025.0,1694.0,285,269
Betriebs- und UnternehmensleiterIn,AT21,Kärnten,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,278.0,285,269
Betriebs- und UnternehmensleiterIn,AT22,Steiermark,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,648.0,285,269
Betriebs- und UnternehmensleiterIn,AT31,Oberösterreich,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,939.0,285,269
Betriebs- und UnternehmensleiterIn,AT32,Salzburg,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,600.0,285,269
Betriebs- und UnternehmensleiterIn,AT33,Tirol,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,642.0,285,269
Betriebs- und UnternehmensleiterIn,AT34,Vorarlberg,gleichbleibend,2026-2028,50% - mittlerer Anteil,2025.0,275.0,285,269
BetriebswirtIn,AT,Österreich,positiv,2026-2028,30% - geringer Anteil,2025.0,3912.0,285,872
BetriebswirtIn,AT11,Burgenland,positiv,2026-2028,30% - geringer Anteil,2025.0,36.0,285,872
BetriebswirtIn,AT12,Niederösterreich,positiv,2026-2028,30% - geringer Anteil,2025.0,549.0,285,872
BetriebswirtIn,AT13,Wien,positiv,2026-2028,50% - mittlerer Anteil,2025.0,761.0,285,872
BetriebswirtIn,AT21,Kärnten,positiv,2026-2028,30% - geringer Anteil,2025.0,205.0,285,872
BetriebswirtIn,AT22,Steiermark,positiv,2026-2028,30% - geringer Anteil,2025.0,459.0,285,872
BetriebswirtIn,AT31,Oberösterreich,positiv,2026-2028,30% - geringer Anteil,2025.0,666.0,285,872
BetriebswirtIn,AT32,Salzburg,positiv,2026-2028,30% - geringer Anteil,2025.0,339.0,285,872
BetriebswirtIn,AT33,Tirol,positiv,2026-2028,50% - mittlerer Anteil,2025.0,468.0,285,872
BetriebswirtIn,AT34,Vorarlberg,positiv,2026-2028,30% - geringer Anteil,2025.0,179.0,285,872
Business-Development-ManagerIn,AT,Österreich,positiv,2026-2028,30% - geringer Anteil,2025.0,2086.0,285,1278
Business-Development-ManagerIn,AT11,Burgenland,positiv,2026-2028,30% - geringer Anteil,,,285,1278
Business-Development-ManagerIn,AT12,Niederösterreich,positiv,2026-2028,30% - geringer Anteil,2025.0,163.0,285,1278
Business-Development-ManagerIn,AT13,Wien,positiv,2026-2028,50% - mittlerer Anteil,2025.0,821.0,285,1278
Business-Development-ManagerIn,AT21,Kärnten,positiv,2026-2028,30% - geringer Anteil,2025.0,54.0,285,1278
Business-Development-ManagerIn,AT22,Steiermark,positiv,2026-2028,30% - geringer Anteil,2025.0,210.0,285,1278
Business-Development-ManagerIn,AT31,Oberösterreich,positiv,2026-2028,30% - geringer Anteil,2025.0,278.0,285,1278
Business-Development-ManagerIn,AT32,Salzburg,positiv,2026-2028,30% - geringer Anteil,2025.0,149.0,285,1278
Business-Development-ManagerIn,AT33,Tirol,positiv,2026-2028,30% - geringer Anteil,2025.0,126.0,285,1278
Business-Development-ManagerIn,AT34,Vorarlberg,positiv,2026-2028,30% - geringer Anteil,2025.0,73.0,285,1278
Compliance-ManagerIn,AT,Österreich,tendenziell,2026-2028,30% - geringer Anteil,2025.0,1053.0,285,1250
Compliance-ManagerIn,AT11,Burgenland,tendenziell,2026-2028,30% - geringer Anteil,,,285,1250
Compliance-ManagerIn,AT12,Niederösterreich,tendenziell,2026-2028,0% - sehr geringer Anteil,2025.0,71.0,285,1250
Compliance-ManagerIn,AT13,Wien,tendenziell,2026-2028,30% - geringer Anteil,2025.0,462.0,285,1250
