posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
linkedin:4454191402,Physiker/Mathematiker/Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),physiker / mathematiker / naturwissenschaftler als berater im bereich datenintegration,other_data,Actuary / Mathematician (adjacent),mathematiker,linkedin
jobsat:7878320,Senior IT Service Manager:in - Data Integration (m/w/d),senior it service manager data integration,other_data,Other data / analytics role,\bdata\b,jobsat
eures:MTY5NjcwOTggNDM,Internship: Digitalization - Software Programmer in the IP Context (f/m/div),internship : digitalization software programmer in the ip context,other_data,Other data / analytics role,digital(?:isierung|ization),eures
eures:MTcyNzQyOTUgNDM,Application Workload Manager_in - Data Warehouse,application workload manager data warehouse,other_data,Other data / analytics role,\bdata\b,eures
karriere:7875586,Lead Developer (f/m/d) - Agentic AI Platform,lead developer agentic ai platform,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer","(?:software|backend|platform|devops|cloud|full ?stack|frontend|python|java|\.net|c#|web|app|agent|agentops|solutions?)[^,]{0,40}(?:\bai\b|\bki\b|\bml\b|machine learning|\bllm|genai|generative|deep learning|computer vision|\bnlp\b)",karriere
linkedin:4435545354,AI-Project Manager & Consultant (m/w/d),ai project manager & consultant,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,linkedin
linkedin:4434637534,"Visiting Associate - AI Tech Architecture (all genders) - BCG Platinion Vienna, Austria",visiting associate ai tech architecture bcg platinion,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,linkedin
karriere:7863346,AI Architect (m/w/d),ai architect,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai (?:consultant|expert|specialist|manager|lead|architect|advisor),karriere
eures:MTcxOTkxNzQgNDM,AI Consultant (m/w/d),ai consultant,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai (?:consultant|expert|specialist|manager|lead|architect|advisor),eures
karriere:10032335,"Trainer*In gesucht (m/w/d) Lehrgänge im Bereich Künstliche Intelligenz (KI), Online-Unterricht","trainer gesucht lehrgänge im bereich künstliche intelligenz ki , online unterricht",ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",künstliche intelligenz,karriere
linkedin:4462247200,Group AI Learning & Quality Manager (m/w/d) in Teilzeit,group ai learning & quality manager in,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai\b,linkedin
jobsat:7895956,AI Consultant (m/w/d),ai consultant,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",\bai (?:consultant|expert|specialist|manager|lead|architect|advisor),jobsat
