role_family,skill,count,n,share,ci_low,ci_high
data_science,Optimization/OR,6,157,0.038,0.018,0.081
data_science,Digital/Online Marketing,4,157,0.025,0.01,0.064
data_science,CRM,4,157,0.025,0.01,0.064
data_science,Web/Digital Analytics,4,157,0.025,0.01,0.064
data_science,Product Analytics,3,157,0.019,0.007,0.055
data_science,Customer Analytics,3,157,0.019,0.007,0.055
data_science,Pricing/Revenue,3,157,0.019,0.007,0.055
data_science,Telecom,1,157,0.006,0.001,0.035
marketing_analytics,Marketing,24,24,1.0,0.862,1.0
marketing_analytics,Digital/Online Marketing,17,24,0.708,0.508,0.851
marketing_analytics,Web/Digital Analytics,13,24,0.542,0.351,0.721
marketing_analytics,Consulting,12,24,0.5,0.314,0.686
marketing_analytics,CRM,11,24,0.458,0.279,0.649
marketing_analytics,Sales/Commercial,10,24,0.417,0.245,0.612
marketing_analytics,Customer Analytics,10,24,0.417,0.245,0.612
marketing_analytics,Product Analytics,9,24,0.375,0.212,0.573
marketing_analytics,E-Commerce,7,24,0.292,0.149,0.492
marketing_analytics,Automotive/Mobility,5,24,0.208,0.092,0.405
marketing_analytics,Real Estate/Retail,4,24,0.167,0.067,0.359
marketing_analytics,Project Management,3,24,0.125,0.043,0.31
marketing_analytics,Operations/Manufacturing,3,24,0.125,0.043,0.31
marketing_analytics,Finance/Controlling,2,24,0.083,0.023,0.258
marketing_analytics,Telecom,2,24,0.083,0.023,0.258
marketing_analytics,Requirements/Business Analysis,2,24,0.083,0.023,0.258
marketing_analytics,SAP (ERP),1,24,0.042,0.007,0.202
product_analytics,Marketing,1,1,1.0,0.207,1.0
product_analytics,Customer Analytics,1,1,1.0,0.207,1.0
product_analytics,Product Analytics,1,1,1.0,0.207,1.0
product_analytics,Web/Digital Analytics,1,1,1.0,0.207,1.0
product_analytics,Public Sector/Research,1,1,1.0,0.207,1.0
