company_norm,postings,families,states,styria,graz_area,is_agency,sources,example_company
eblinger & partner personal und management beratungsgesellschaft m b h,2,"data_analytics,data_science",Wien,0,0,True,jobsat,Eblinger & Partner Personal und Management Beratungsgesellschaft m.b.H.
hofer,2,"business_analysis,data_science","Niederösterreich,Oberösterreich",0,0,False,willhaben,HOFER KG
holzkern,2,marketing_analytics,Wien,0,0,False,linkedin,HOLZKERN
erste bank,2,"business_analysis,data_engineering",Wien,0,0,False,karriere,Erste Bank
iono robotics,2,data_science,Oberösterreich,0,0,False,linkedin,IONO Robotics
erste digital,2,"data_analytics,data_engineering",Wien,0,0,False,linkedin,Erste Digital
infineon technologies,2,"data_analytics,data_engineering",Kärnten,0,0,False,"karriere,linkedin",Infineon Technologies Austria AG
felbermayr,2,data_engineering,Oberösterreich,0,0,False,"karriere,linkedin",Felbermayr Group
frutarom,2,"bi,data_engineering",Salzburg,0,0,False,jobsat,FRUTAROM GMBH
hartlauer handelsgesmbh,2,marketing_analytics,"Oberösterreich,Wien",0,0,False,karriere,Hartlauer HandelsgesmbH
gebrüder weiss,2,"bi,data_engineering",Niederösterreich,0,0,False,"eures,linkedin",GEBRÜDER WEISS
hays,2,"business_analysis,data_engineering","Oberösterreich,Wien",0,0,True,"karriere,linkedin",Hays Österreich GmbH
er personalberatung,2,data_analytics,"Salzburg,Wien",0,0,True,eures,ER Personalberatung
österreichische lotterien,2,data_science,Wien,0,0,False,"karriere,linkedin",Österreichische Lotterien
facc,2,data_engineering,Oberösterreich,0,0,False,karriere,FACC AG
zühlke,2,"data_engineering,data_science",Wien,0,0,False,linkedin,Zühlke Group
österreichische gesundheitskasse,2,data_governance,"Steiermark,Wien",1,0,False,"karriere,linkedin",Österreichische Gesundheitskasse
fabasoft,2,data_science,"Oberösterreich,Wien",0,0,False,linkedin,Fabasoft
xxxldigital – part of xxxl,2,"data_analytics,data_governance",Wien,0,0,False,karriere,XXXLdigital – Part of XXXL Group
admiral technologies,2,"data_engineering,data_science",Wien,0,0,False,karriere,ADMIRAL Technologies
wolfgang denzel auto,2,"data_engineering,data_science",Wien,0,0,False,linkedin,Wolfgang Denzel Auto AG
accenture southeast asia,2,data_science,Wien,0,0,False,linkedin,Accenture Southeast Asia
abb,2,"business_analysis,data_analytics",Oberösterreich,0,0,False,"karriere,linkedin",ABB Group
österreichische postbus aktiengesellschaft,1,business_analysis,Wien,0,0,False,karriere,Österreichische Postbus Aktiengesellschaft
[at],1,data_science,Wien,0,0,False,linkedin,[at] Group
acctus personalberatung,1,bi,Wien,0,0,True,karriere,acctus Personalberatung GmbH
ase services süd,1,data_science,Steiermark,1,1,False,willhaben,ASE Services Süd GmbH
arena pistenmanagement | powergis,1,data_governance,Salzburg,0,0,False,karriere,ARENA Pistenmanagement | PowerGIS
apprize technology solutions,1,data_science,Wien,0,0,False,linkedin,Apprize Technology Solutions
apc business services,1,bi,Niederösterreich,0,0,False,linkedin,APC Business Services GmbH
anexia,1,bi,Kärnten,0,0,False,jobsat,Anexia Holding GmbH
ams osram,1,data_science,Steiermark,1,1,False,linkedin,ams OSRAM
alpla,1,business_analysis,Vorarlberg,0,0,False,linkedin,ALPLA Group
allianz,1,data_engineering,Wien,0,0,False,linkedin,Allianz Österreich
all for one,1,data_analytics,Steiermark,1,1,False,linkedin,All for One
airswift,1,business_analysis,Wien,0,0,False,linkedin,Airswift
valantic vormals elements at,1,marketing_analytics,Salzburg,0,0,False,linkedin,valantic Austria (vormals elements.at)
vaillant,1,data_analytics,Wien,0,0,False,linkedin,Vaillant Group
usecon,1,business_analysis,Wien,0,0,False,linkedin,Usecon
uniqa insurance,1,bi,Wien,0,0,False,linkedin,UNIQA Insurance Group
truechoice solutions,1,data_science,Wien,0,0,False,linkedin,"TrueChoice Solutions, Inc."
trinsik formerly v_labs,1,data_analytics,Wien,0,0,False,linkedin,Trinsik (formerly V_labs)
getzner werkstoffe,1,business_analysis,Vorarlberg,0,0,False,eures,Getzner Werkstoffe
