beruf,group_id,beruf_id,Burgenland,Kärnten,Niederösterreich,Oberösterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien,Österreich
TranslatorIn,291,992,,,35.0,30.0,20.0,32.0,38.0,,81.0,278.0
Treasurer (m/w),282,1304,,,20.0,35.0,28.0,,20.0,,104.0,258.0
UnternehmensberaterIn,291,548,31.0,71.0,161.0,241.0,176.0,205.0,91.0,61.0,870.0,2095.0
VersicherungsberaterIn,282,1190,30.0,86.0,272.0,257.0,110.0,223.0,111.0,58.0,180.0,1409.0
Versicherungskaufmann/-frau,282,545,33.0,81.0,179.0,289.0,156.0,214.0,161.0,63.0,545.0,1837.0
VertriebstechnikerIn,290,855,77.0,177.0,531.0,808.0,425.0,468.0,386.0,300.0,1170.0,4742.0
VerwaltungsmanagerIn,285,1245,,75.0,219.0,326.0,136.0,186.0,183.0,116.0,540.0,2086.0
Visual Merchandiser (m/w),286,705,,22.0,50.0,84.0,39.0,50.0,70.0,,77.0,435.0
WebdesignerIn,328,1213,,21.0,35.0,133.0,64.0,75.0,59.0,22.0,248.0,737.0
WebentwicklerIn,328,675,,59.0,93.0,287.0,102.0,195.0,67.0,59.0,602.0,1587.0
WebmasterIn,303,686,,,,,,28.0,,,30.0,121.0
WirtschaftsinformatikerIn,301,760,,35.0,87.0,150.0,101.0,91.0,62.0,75.0,577.0,1307.0
WirtschaftsingenieurIn,290,923,22.0,64.0,256.0,435.0,134.0,251.0,201.0,86.0,456.0,2083.0
WirtschaftstreuhänderIn,291,798,39.0,346.0,401.0,686.0,396.0,490.0,208.0,166.0,1878.0,4901.0
